nom	annee	n
La Commission de Toponymie de Port-aux-Français	1960	1
La Commission de Toponymie de Port-aux-Français	1970	0
La Commission de Toponymie de Port-aux-Français	1980	0
Benoît Tollu	1760	0
Benoît Tollu	1770	0
Benoît Tollu	1780	0
Benoît Tollu	1790	0
Benoît Tollu	1800	0
Benoît Tollu	1810	0
Benoît Tollu	1820	0
Benoît Tollu	1830	0
Benoît Tollu	1840	0
Benoît Tollu	1850	0
Benoît Tollu	1860	0
Benoît Tollu	1870	0
Benoît Tollu	1880	0
Benoît Tollu	1890	0
Benoît Tollu	1900	0
Benoît Tollu	1910	0
Benoît Tollu	1920	0
Benoît Tollu	1930	0
Benoît Tollu	1940	0
Benoît Tollu	1950	0
Benoît Tollu	1960	23
Benoît Tollu	1970	0
Benoît Tollu	1980	0
Jean-Claude Hureau	1760	0
Jean-Claude Hureau	1770	0
Jean-Claude Hureau	1780	0
